Popularity,Acousticness,Danceability,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence,Duration (ms)
1,1,1,1,0.999999999,1,1,1,1,1
1.495810565,0.67750487,1.141277769,1.494823281,0.691480344,1.167116059,0.930257655,1.076243769,1.277863746,1.046021853
1.582581438,0.507761889,1.277672313,1.591039395,0.113145635,1.114446099,1.107996951,1.059991225,1.262944796,1.406631174
1.833385675,0.272347253,1.355557589,1.908793504,0.251499168,1.252580961,0.930456126,1.107494157,1.211673959,1.489606769
1.751409489,0.307669816,1.364033882,1.690217651,0.157490973,1.286241247,1.184457163,1.100872504,0.944354749,1.571726495
1.846026147,0.219902646,1.413801756,2.005177924,0.134899634,1.512135103,1.816965406,1.064188824,1.038439142,1.404503774
2.031501125,0.234280447,1.387412256,1.994422863,0.151070474,1.536424565,2.071443119,1.112041901,1.042800024,1.375675309
